date_time,RME_176,RMESP
1998-01-10 00:00:00+00:00,475.71,475.71
1998-01-10 01:00:00+00:00,475.71,475.71
1998-01-10 02:00:00+00:00,471.72,471.72
1998-01-10 03:00:00+00:00,475.71,475.71
1998-01-10 04:00:00+00:00,479.73,479.73
1998-01-10 05:00:00+00:00,475.71,475.71
1998-01-10 06:00:00+00:00,475.71,475.71
1998-01-10 07:00:00+00:00,479.73,483.78
1998-01-10 08:00:00+00:00,491.98,491.98
1998-01-10 09:00:00+00:00,496.12,496.12
1998-01-10 10:00:00+00:00,500.3,504.51
1998-01-10 11:00:00+00:00,517.34,521.68
1998-01-10 12:00:00+00:00,534.9,543.88
1998-01-10 13:00:00+00:00,534.9,543.88
1998-01-10 14:00:00+00:00,530.46,539.37
1998-01-10 15:00:00+00:00,539.37,543.88
1998-01-10 16:00:00+00:00,539.37,543.88
1998-01-10 17:00:00+00:00,543.88,548.42
1998-01-10 18:00:00+00:00,543.88,543.88
1998-01-10 19:00:00+00:00,534.9,539.37
1998-01-10 20:00:00+00:00,534.9,534.9
1998-01-10 21:00:00+00:00,539.37,539.37
1998-01-10 22:00:00+00:00,534.9,534.9
1998-01-10 23:00:00+00:00,534.9,534.9
1998-01-11 00:00:00+00:00,530.46,530.46
1998-01-11 01:00:00+00:00,534.9,534.9
1998-01-11 02:00:00+00:00,534.9,534.9
1998-01-11 03:00:00+00:00,539.37,539.37
1998-01-11 04:00:00+00:00,534.9,534.9
1998-01-11 05:00:00+00:00,530.46,530.46
1998-01-11 06:00:00+00:00,526.05,521.68
1998-01-11 07:00:00+00:00,521.68,521.68
1998-01-11 08:00:00+00:00,526.05,526.05
1998-01-11 09:00:00+00:00,534.9,539.37
1998-01-11 10:00:00+00:00,539.37,539.37
1998-01-11 11:00:00+00:00,543.88,548.42
1998-01-11 12:00:00+00:00,553.0,553.0
1998-01-11 13:00:00+00:00,557.61,557.61
1998-01-11 14:00:00+00:00,562.26,566.94
1998-01-11 15:00:00+00:00,571.66,571.66
1998-01-11 16:00:00+00:00,539.37,539.37
1998-01-11 17:00:00+00:00,483.78,483.78
1998-01-11 18:00:00+00:00,444.63,444.63
1998-01-11 19:00:00+00:00,411.88,415.41
1998-01-11 20:00:00+00:00,404.91,408.38
1998-01-11 21:00:00+00:00,411.88,408.38
1998-01-11 22:00:00+00:00,398.05,401.46
1998-01-11 23:00:00+00:00,391.29,391.29
1998-01-12 00:00:00+00:00,391.29,394.65
1998-01-12 01:00:00+00:00,391.29,391.29
1998-01-12 02:00:00+00:00,391.29,391.29
1998-01-12 03:00:00+00:00,387.95,391.29
1998-01-12 04:00:00+00:00,384.64,387.95
1998-01-12 05:00:00+00:00,387.95,387.95
1998-01-12 06:00:00+00:00,381.35,381.35
1998-01-12 07:00:00+00:00,359.05,355.96
1998-01-12 08:00:00+00:00,352.9,337.94
1998-01-12 09:00:00+00:00,340.88,320.76
1998-01-12 10:00:00+00:00,371.64,378.09
1998-01-12 11:00:00+00:00,394.65,408.38
1998-01-12 12:00:00+00:00,433.46,452.22
1998-01-12 13:00:00+00:00,471.72,487.86
1998-01-12 14:00:00+00:00,521.68,530.46
1998-01-12 15:00:00+00:00,557.61,557.61
1998-01-12 16:00:00+00:00,562.26,566.94
1998-01-12 17:00:00+00:00,571.66,571.66
1998-01-12 18:00:00+00:00,571.66,571.66
1998-01-12 19:00:00+00:00,571.66,571.66
1998-01-12 20:00:00+00:00,581.2,581.2
1998-01-12 21:00:00+00:00,586.03,586.03
1998-01-12 22:00:00+00:00,571.66,571.66
1998-01-12 23:00:00+00:00,562.26,557.61
1998-01-13 00:00:00+00:00,530.46,530.46
1998-01-13 01:00:00+00:00,487.86,487.86
1998-01-13 02:00:00+00:00,463.83,463.83
1998-01-13 03:00:00+00:00,459.93,459.93
1998-01-13 04:00:00+00:00,437.15,437.15
1998-01-13 05:00:00+00:00,426.15,426.15
1998-01-13 06:00:00+00:00,401.46,401.46
1998-01-13 07:00:00+00:00,394.65,394.65
1998-01-13 08:00:00+00:00,391.29,394.65
1998-01-13 09:00:00+00:00,394.65,394.65
1998-01-13 10:00:00+00:00,398.05,398.05
1998-01-13 11:00:00+00:00,401.46,408.38
1998-01-13 12:00:00+00:00,411.88,426.15
1998-01-13 13:00:00+00:00,418.96,437.15
1998-01-13 14:00:00+00:00,437.15,463.83
1998-01-13 15:00:00+00:00,456.06,475.71
1998-01-13 16:00:00+00:00,456.06,467.76
1998-01-13 17:00:00+00:00,429.79,437.15
1998-01-13 18:00:00+00:00,401.46,408.38
1998-01-13 19:00:00+00:00,387.95,381.35
1998-01-13 20:00:00+00:00,378.09,362.16
1998-01-13 21:00:00+00:00,378.09,374.85
1998-01-13 22:00:00+00:00,368.45,349.86
1998-01-13 23:00:00+00:00,343.85,337.94
1998-01-14 00:00:00+00:00,352.9,343.85
