primary_id,elevation,latitude,longitude,utm_x,utm_y,zone,xi,yi
RME_176,2093,43.065611,-116.759142502,519611,4768129,11,0,9
RMESP,2056,43.067347999999996,-116.75465273399999,519976,4768323,11,6,13
